dimension,stable_rank,effective_rank,token_cosine,explained_variance
768,17.302845972066674,29.286960302680093,0.5905769822173436,1.0
612,16.808710935966914,28.659133993873404,0.5971135501259832,0.9704317
488,16.221193800713824,27.912596784421307,0.6050838121719788,0.93445396
388,15.577819820580613,27.074428969451645,0.6138195066824993,0.8951222
308,14.897260851091067,26.153959756991956,0.6230469949764796,0.8541272
244,14.185912426822679,25.161214626235303,0.6325608519179114,0.81212544
192,13.44514315345927,24.09688507427068,0.6423567544883106,0.7688255
152,12.71043701354181,22.998392718368994,0.6518759988581452,0.72746027
120,11.952179902285025,21.810099308752676,0.6614074659660798,0.6869465
96,11.227965259339063,20.6030932017745,0.6702582611035832,0.6502732
76,10.469792584722658,19.24397702624337,0.6791687707073466,0.61377764
60,9.676725187857995,17.672981028283143,0.6880080395441348,0.57920885
48,8.905508532054998,15.947170187971764,0.6962079549616873,0.54877096
36,7.935875592908313,13.69597336458186,0.7059305746426355,0.51205784
28,7.143008539645734,11.864259278487209,0.7144349199124727,0.48219898
20,6.1497724819029616,9.644185375482154,0.7258008630710854,0.44456553
16,5.637696144979424,8.492537162892773,0.7310126687647929,0.42173177
12,5.114973498660198,7.309987081260974,0.7363461594410904,0.39358556
8,4.315257425104606,5.726154023504104,0.7476240943654789,0.35851762
